[0000006764ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000002a0
[0000006780ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000002a1
[0000006792ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000002b
[0000006816ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006832ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000002b0
[0000006862ns] mycpu : pc = 1c000014, inst = 060001a0, reg = 00, val = 000002b0
[0000006896ns] mycpu : pc = 1c000018, inst = 060005a0, reg = 00, val = 000002b1
[0000006920ns] mycpu : pc = 1c00001c, inst = 060001a1, reg = 00, val = 000002b0
[0000006932ns] mycpu : pc = 1c000020, inst = 060005a1, reg = 00, val = 000002b1
[0000006948ns] mycpu : pc = 1c000024, inst = 0280058c, reg = 12, val = 0000002c
[0000006964ns] mycpu : pc = 1c000028, inst = 5fffe98e, reg = 00, val = 00000000
[0000006978ns] mycpu : pc = 1c000010, inst = 0040918d, reg = 13, val = 000002c0
